year,race,driver,top_speed,avg_top_speed,fastest_lap_time,avg_lap_time
2018,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,5,329.0,299.48979591836735,97.479,100.964703
2018,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,55,339.0,305.0769230769231,97.754,102.203
2018,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,20,331.0,304.5660377358491,98.152,103.142392
2018,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,31,339.0,308.52830188679246,97.985,103.221964
2018,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,11,340.0,311.03921568627453,97.673,103.234017
2018,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2,329.0,304.2692307692308,98.137,103.317017
2018,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,18,330.0,300.57142857142856,98.5,103.42625
2018,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,35,328.0,306.1764705882353,98.624,103.475375
2018,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,9,332.0,306.9183673469388,98.386,101.607185
2018,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,8,342.0,308.0833333333333,97.41,103.601357
2018,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,10,339.0,312.13461538461536,98.367,102.36129
2018,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,16,327.0,303.72,98.808,101.879703
2018,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,28,333.0,308.7391304347826,99.376,102.235102
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,44,318.0,283.96078431372547,105.412,109.16035
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,7,318.0,280.6470588235294,106.523,111.075146
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,11,326.0,292.2352941176471,106.206,111.08578
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,5,314.0,275.0980392156863,105.53,108.9749
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,55,325.0,279.2549019607843,106.856,111.444829
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,16,325.0,279.7843137254902,107.403,111.901341
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,14,324.0,284.01960784313724,107.449,112.774536
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,18,326.0,282.05882352941177,106.815,111.970975
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,2,320.0,277.6862745098039,107.666,114.66486
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,28,322.0,277.7647058823529,108.288,114.054404
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,9,320.0,286.6470588235294,107.925,118.32676
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,10,317.0,273.94117647058823,108.035,113.91669
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,20,313.0,283.1372549019608,108.155,115.567116
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,77,313.0,284.9375,105.149,108.561378
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,8,323.0,288.2857142857143,106.88,111.810135
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,33,318.0,290.20512820512823,105.771,109.746742
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,3,325.0,295.3333333333333,105.419,109.7274
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,27,329.0,237.8,108.867,119.446333
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,31,,,,
2018,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,35,,,,
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,44,339.0,296.29411764705884,79.133,85.756646
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,77,332.0,298.27272727272725,79.478,86.068846
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,33,324.0,295.44827586206895,79.422,86.164661
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,5,333.0,294.2641509433962,79.128,86.177092
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,3,332.0,292.1034482758621,78.441,86.51683
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,20,332.0,283.3333333333333,80.246,87.379828
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,55,329.0,292.8421052631579,81.324,87.953156
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,14,331.0,295.31481481481484,80.727,88.010062
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,11,339.0,306.77777777777777,81.128,88.510444
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,16,333.0,292.9807692307692,82.122,88.555857
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,18,314.0,292.54901960784315,82.095,88.666555
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,28,332.0,290.7843137254902,81.439,88.857396
